keys,zhc,zh,en
出現黃金標記機率+20%，標記觸發符號價值永久+3,出現黃金標記機率+20%，標記觸發符號價值永久+3,出现黄金标记机率+20%，标记触发符号价值永久+3,+20% chance for golden marker. Triggered symbol value permanently +3.
黃金鑽石,黃金鑽石,黄金钻石,Golden Diamond
出現黃金標記機率+20%，標記觸發符號價值永久+5,出現黃金標記機率+20%，標記觸發符號價值永久+5,出现黄金标记机率+20%，标记触发符号价值永久+5,+20% chance for golden marker. Triggered symbol value permanently +5.
黃金BAR,黃金BAR,黄金BAR,Golden BAR
出現黃金標記機率+20%，標記觸發符號價值永久+5,出現黃金標記機率+20%，標記觸發符號價值永久+5,出现黄金标记机率+20%，标记触发符号价值永久+5,+20% chance for golden marker. Triggered symbol value permanently +5.
黃金7,黃金7,黄金7,Golden 7
出現黃金標記機率+20%，標記觸發符號價值永久+7,出現黃金標記機率+20%，標記觸發符號價值永久+7,出现黄金标记机率+20%，标记触发符号价值永久+7,+20% chance for golden marker. Triggered symbol value permanently +7.
不倒翁,不倒翁,不倒翁,Weeble
符號出現黃金標記提升2%，每購買一次道具提升1%(最高25%)，標記觸發獎金+1兌換券,符號出現黃金標記提升2%，每購買一次道具提升1%(最高25%)，標記觸發獎金+1兌換券,符号出现黄金标记提升2%，每购买一次道具提升1%(最高25%)，标记触发奖金+1兑换券,Golden marker chance +2%. +1% per item purchased (max 25%). Triggered marker grants +1 Voucher.
加倍道具A,加倍道具A,加倍道具A,Double Booster A
轉動次數用完前，檸檬、鈴鐺、BAR、7觸發次數+1,轉動次數用完前，檸檬、鈴鐺、BAR、7觸發次數+1,转动次数用完前，柠檬、铃铛、BAR、7触发次数+1,"Grants +1 trigger to Lemon, Bell, BAR, and 7 symbols until spins are depleted."
加倍道具B,加倍道具B,加倍道具B,Double Booster B
轉動次數用完前，櫻桃、幸運草、鑽石觸發次數+1,轉動次數用完前，櫻桃、幸運草、鑽石觸發次數+1,转动次数用完前，樱桃、幸运草、钻石触发次数+1,"Grants +1 trigger to Cherry, Clover, and Diamond symbols until spins are depleted."
可用次數:,可用次數:,可用次数:,Available times:
